escenario,configuracion,nodos,hilos_totales,estrategia,trabajo,factor_tiempo,etiqueta,pedidos,clientes,tasa,entregados,perdidos,rechazados,reasignados,duracion_s,throughput,latencia_prom,latencia_p50,latencia_p95,latencia_max,espera_prom,servicio_prom,por_nodo
horizontal,1 nodo x 4 hilos,1,4,menor_carga,espera,1.0,horizontal: 1 nodo x 4 hilos,120,6,0.0,120,0,0,0,22.3951,5.3583,11.0964,10.9715,20.6816,22.3725,10.3724,0.724,nodo-1:120
horizontal,2 nodos x 4 hilos,2,8,menor_carga,espera,1.0,horizontal: 2 nodos x 4 hilos,120,6,0.0,120,0,0,0,11.4689,10.4631,5.6774,5.5151,10.6336,11.4532,4.9516,0.7258,nodo-1:60 nodo-2:60
horizontal,3 nodos x 4 hilos,3,12,menor_carga,espera,1.0,horizontal: 3 nodos x 4 hilos,120,6,0.0,120,0,0,0,8.4388,14.22,3.9098,3.8187,7.2516,8.4223,3.1905,0.7192,nodo-1:40 nodo-2:40 nodo-3:40
vertical,1 nodo x 4 hilos,1,4,menor_carga,espera,1.0,vertical: 1 nodo x 4 hilos,120,6,0.0,120,0,0,0,22.0905,5.4322,11.2764,11.1609,20.9815,22.0723,10.5518,0.7247,nodo-1:120
vertical,1 nodo x 8 hilos,1,8,menor_carga,espera,1.0,vertical: 1 nodo x 8 hilos,120,6,0.0,120,0,0,0,11.2715,10.6463,5.688,5.4519,10.4158,11.2554,4.9704,0.7177,nodo-1:120
vertical,1 nodo x 12 hilos,1,12,menor_carga,espera,1.0,vertical: 1 nodo x 12 hilos,120,6,0.0,120,0,0,0,7.8543,15.2783,3.9657,3.9659,7.0834,7.8372,3.2343,0.7314,nodo-1:120
balanceo,round_robin,3,10,round_robin,espera,1.0,balanceo: round_robin,120,6,0.0,120,0,0,0,14.1723,8.4672,5.1101,4.6038,12.1377,14.1562,4.3845,0.7257,nodo-1:40 nodo-2:40 nodo-3:40
balanceo,menor_carga,3,10,menor_carga,espera,1.0,balanceo: menor_carga,120,6,0.0,120,0,0,0,9.8649,12.1643,4.6462,4.4574,8.7043,9.8488,3.9158,0.7304,nodo-1:24 nodo-2:48 nodo-3:48
gil,1 nodo x 1 hilo (base),1,1,menor_carga,cpu,0.5,gil: 1 nodo x 1 hilo (base),30,3,0.0,30,0,0,0,10.5748,2.8369,5.3197,5.3899,10.058,10.5695,4.9675,0.3522,nodo-1:30
gil,1 nodo x 3 hilos (vertical),1,3,menor_carga,cpu,0.5,gil: 1 nodo x 3 hilos (vertical),30,3,0.0,30,0,0,0,10.8789,2.7576,5.7059,5.6583,10.7822,10.8736,4.6548,1.0511,nodo-1:30
gil,3 nodos x 1 hilo (horizontal),3,3,menor_carga,cpu,0.5,gil: 3 nodos x 1 hilo (horizontal),30,3,0.0,30,0,0,0,4.1922,7.1561,2.0123,1.9877,3.7631,4.1864,1.6321,0.3801,nodo-1:10 nodo-2:10 nodo-3:10
saturacion,1 nodo x 4 hilos @ 4 ped/s,1,4,menor_carga,espera,1.0,saturacion: 1 nodo x 4 hilos @ 4 ped/s,24,6,4,24,0,0,0,6.3734,3.7657,0.6908,0.5719,1.1223,1.1666,0.0032,0.6876,nodo-1:24
saturacion,1 nodo x 4 hilos @ 8 ped/s,1,4,menor_carga,espera,1.0,saturacion: 1 nodo x 4 hilos @ 8 ped/s,48,6,8,48,0,0,0,9.2505,5.1889,1.9791,1.8746,3.2546,3.5004,1.2549,0.7242,nodo-1:48
saturacion,1 nodo x 4 hilos @ 12 ped/s,1,4,menor_carga,espera,1.0,saturacion: 1 nodo x 4 hilos @ 12 ped/s,72,6,12,72,0,0,0,13.0276,5.5267,3.8964,3.9748,6.7895,7.2551,3.1897,0.7067,nodo-1:72
saturacion,1 nodo x 4 hilos @ 16 ped/s,1,4,menor_carga,espera,1.0,saturacion: 1 nodo x 4 hilos @ 16 ped/s,96,6,16,96,0,0,0,17.652,5.4385,6.0847,5.9813,11.2207,11.7765,5.3611,0.7236,nodo-1:96
saturacion,3 nodos x 4 hilos @ 4 ped/s,3,12,menor_carga,espera,1.0,saturacion: 3 nodos x 4 hilos @ 4 ped/s,24,6,4,24,0,0,0,6.373,3.7659,0.688,0.5627,1.1749,1.1917,0.0012,0.6868,nodo-1:10 nodo-2:8 nodo-3:6
saturacion,3 nodos x 4 hilos @ 8 ped/s,3,12,menor_carga,espera,1.0,saturacion: 3 nodos x 4 hilos @ 8 ped/s,48,6,8,48,0,0,0,6.6714,7.1949,0.7078,0.6256,1.0499,1.1556,0.0012,0.7067,nodo-1:17 nodo-2:18 nodo-3:13
saturacion,3 nodos x 4 hilos @ 12 ped/s,3,12,menor_carga,espera,1.0,saturacion: 3 nodos x 4 hilos @ 12 ped/s,72,6,12,72,0,0,0,6.7395,10.6834,0.7114,0.6764,1.0877,1.1718,0.0011,0.7102,nodo-1:26 nodo-2:25 nodo-3:21
saturacion,3 nodos x 4 hilos @ 16 ped/s,3,12,menor_carga,espera,1.0,saturacion: 3 nodos x 4 hilos @ 16 ped/s,96,6,16,96,0,0,0,7.0684,13.5815,0.7563,0.7371,1.1449,1.5599,0.034,0.7222,nodo-1:33 nodo-2:33 nodo-3:30
coordinador,"2 nodos x 8 hilos, traza por pedido (antes)",2,16,menor_carga,espera,0.002,"coordinador: 2 nodos x 8 hilos, traza por pedido (antes)",2000,8,0.0,2000,0,0,0,1.3293,1504.5096,0.5978,0.6184,0.8896,0.9188,0.5958,0.002,nodo-1:1103 nodo-2:897
coordinador,1 nodo x 8 hilos,1,8,menor_carga,espera,0.002,coordinador: 1 nodo x 8 hilos,2000,8,0.0,2000,0,0,0,0.8776,2278.8331,0.3384,0.3552,0.5381,0.5518,0.3362,0.0022,nodo-1:2000
coordinador,2 nodos x 8 hilos,2,16,menor_carga,espera,0.002,coordinador: 2 nodos x 8 hilos,2000,8,0.0,2000,0,0,0,0.9072,2204.5722,0.3584,0.3852,0.54,0.5504,0.3565,0.0019,nodo-1:1067 nodo-2:933
coordinador,3 nodos x 8 hilos,3,24,menor_carga,espera,0.002,coordinador: 3 nodos x 8 hilos,2000,8,0.0,2000,0,0,0,0.9155,2184.6301,0.3575,0.3806,0.562,0.5785,0.3557,0.0018,nodo-1:769 nodo-2:663 nodo-3:568
